Crop_enc,State_enc,Season_enc,Year_int,Area,Production,Yield
31,33,0,2010,22.41,53.86,2403.0
31,33,1,2010,12.02,38.76,3224.0
31,34,0,2010,2.07,5.26,2545.0
31,34,1,2010,0.69,1.87,2714.0
31,35,0,2010,85.24,155.68,1826.0
31,35,1,2010,112.8,316.79,2808.0
31,36,0,2010,5.44,8.34,1535.0
31,36,1,2010,4.43,9.81,2217.0
31,37,0,2010,36.68,90.13,2457.0
31,37,1,2010,18.93,54.53,2881.0
31,0,0,2010,719.51,1200.32,1668.0
31,0,1,2010,547.2,1244.5,2274.0
24,2,0,2010,0.98,0.19,193.0
24,3,0,2010,0.01,0.01,727.0
24,4,0,2010,0.12,0.07,563.0
24,5,0,2010,0.03,0.02,778.0
24,7,0,2010,0.2,0.07,332.0
24,12,0,2010,2.89,1.27,439.0
24,13,0,2010,0.03,0.01,400.0
24,14,0,2010,0.03,0.01,344.0
24,15,0,2010,0.05,0.02,441.0
24,16,0,2010,0.04,0.02,364.0
24,17,0,2010,0.87,0.51,586.0
24,20,0,2010,2.91,1.43,492.0
24,21,0,2010,0.56,0.2,357.0
24,22,0,2010,0.02,0.01,441.0
24,23,0,2010,0.02,0.01,568.0
24,24,0,2010,0.01,0.01,588.0
24,25,0,2010,0.03,0.02,605.0
24,26,0,2010,0.52,0.12,224.0
24,29,0,2010,0.06,0.02,404.0
24,30,0,2010,5.47,2.23,408.0
24,32,0,2010,0.48,0.25,527.0
24,33,0,2010,0.27,0.07,261.0
24,34,0,2010,0.02,0.01,587.0
24,35,0,2010,3.36,0.66,196.0
24,36,0,2010,0.02,0.01,234.0
24,37,0,2010,1.83,1.69,921.0
24,0,0,2010,20.83,8.93,429.0
20,2,1,2010,0.06,0.03,572.0
20,3,1,2010,0.27,0.24,893.0
20,4,1,2010,2.39,1.39,581.0
20,5,1,2010,0.87,0.9,1028.0
20,7,1,2010,0.52,0.21,407.0
20,10,1,2010,0.01,0.01,1300.0
20,12,1,2010,2.23,3.49,1565.0
20,13,1,2010,5.04,9.42,1869.0
20,14,1,2010,0.09,0.05,532.0
20,15,1,2010,0.6,0.51,851.0
20,16,1,2010,1.11,0.72,653.0
20,17,1,2010,0.04,0.02,500.0
20,20,1,2010,7.45,8.55,1148.0
20,21,1,2010,0.08,0.03,375.0
20,22,1,2010,0.27,0.21,779.0
20,23,1,2010,0.07,0.05,681.0
20,25,1,2010,0.27,0.27,1000.0
20,26,1,2010,0.16,0.03,208.0
20,29,1,2010,0.31,0.41,1323.0
20,30,1,2010,36.79,43.7,1188.0
20,31,1,2010,0.05,0.04,792.0
20,34,1,2010,0.02,0.02,750.0
20,35,1,2010,6.04,7.17,1187.0
20,36,1,2010,0.14,0.11,803.0
20,37,1,2010,4.11,4.2,1021.0
20,0,1,2010,69.0,81.79,1185.0
32,2,0,2010,15.49,9.79,632.0
32,2,1,2010,2.77,3.53,1276.0
32,3,0,2010,0.04,0.05,1083.0
32,3,1,2010,0.27,0.24,893.0
32,4,0,2010,0.21,0.11,537.0
32,4,1,2010,2.46,1.43,579.0
32,5,0,2010,0.06,0.06,1016.0
32,5,1,2010,1.24,1.3,1050.0
32,7,0,2010,2.25,1.86,824.0
32,7,1,2010,0.91,0.31,345.0
32,10,1,2010,0.01,0.01,1300.0
32,11,0,2010,0.01,0.01,2800.0
32,11,1,2010,0.02,0.07,2875.0
32,12,0,2010,25.55,43.4,1699.0
32,12,1,2010,3.38,5.56,1645.0
32,13,0,2010,0.06,0.04,691.0
32,13,1,2010,5.14,9.6,1868.0
32,14,0,2010,0.04,0.02,536.0
32,14,1,2010,0.11,0.05,505.0
32,15,0,2010,0.05,0.02,441.0
32,15,1,2010,0.6,0.51,850.0
32,16,0,2010,0.55,0.33,599.0
32,16,1,2010,1.27,0.81,635.0
32,17,0,2010,11.5,9.01,783.0
32,17,1,2010,4.74,3.69,778.0
32,18,0,2010,0.02,0.02,1037.0
32,20,0,2010,61.6,71.38,1159.0
32,20,1,2010,8.7,8.97,1031.0
32,21,0,2010,31.74,47.29,1490.0
32,21,1,2010,4.41,3.11,705.0
32,22,0,2010,0.08,0.06,754.0
32,22,1,2010,0.27,0.21,779.0
32,23,0,2010,0.03,0.02,780.0
32,23,1,2010,0.07,0.05,677.0
32,24,0,2010,0.03,0.04,1268.0
32,25,0,2010,0.29,0.34,1156.0
